question,answer
" Which mathematical shape has four sides of equal length, but no right angles?
",Rhombus
" Sparrows belong to which family of birds?
",Passeridae
" ""What sport is featured in the film """"Field of Dreams"""" starring Kevin Costner?""
",Baseball
" Which statesman used the Russian maxim 'doveryai, no proveryai' ('trust, but verify') to ease US/USSR negotiations at the end of the cold war?
",Ronald Reagan
" What did the blowing up of the Gamboa Dyke effectively open in 1913?
",The Panama Canal
" Who won a gold medal in the women’s 400m hurdles at the 1992 Summer Olympics in Barcelona?
",Sally Gunnell
" Whose book Inside NO 10 described Harold Wilson's Downing Street years?
",Lady Falkender
" In flight training, what is it called when the student pilot lands on a runway and takes off again without coming to a full stop, and repeats this circuit multiple times to allow for many landing practices?
",Touch and go
" In which war was the napalm incendiary bomb first used?
",World War II
" What nationality are the group The Cardigans
",Swedish
" Times Square, Manhattan, New York City, was previously known as what?
",Longacre Square
" Composer Felix Mendelssohn had a musical sister what was her christian name
",Fanny
" What disease caused the deaths of Freddie Mercury, Liberace, and Arthur Ashe?
",Aids
" Chablis, Pouilly-Fuissé, and Macon-Villages are all white wines from which French region?
",Burgundy
" Shakehand and penhold grips are used in which sport?
",Tabletennis
" Which Stoke City, Blackpool and England player was the first European Footballer of the Year in 1956?
",Stanley Matthews
" In which country do these laws apply: the 1975 State Protection Act (Article 10 b), which grants the government the power to imprison persons for up to five years without a trial, and the Law to Safeguard the State Against the Dangers of Those Desiring to Cause Subversive Acts (Article 10 a)?
",Myanmar
" Film critic John Simon described which actor as resembling ‘A half-melted bulldog’?
",Walter Matthau
" In the TV sitcom Frasier, what was the name of Martin Crane's dog?
",Eddie
" Which river rises in south Poland and empties into the Baltic Sea at Gdansk?
",Vistula
" 'The Law of the Instrument' referring to having just one 'tool' (i.e., approach or method) and so treating every situation the same is known popularly as 'Maslow's (what)'?
",Hammer
" A phlebotomist historically used what creature as a tool of the trade?
",Leech
" ""Anton Chekhov's play """"The Three Sisters"""" is said to have been inspired by which real life siblings?""
",The Bronte sisters
" Which US term used along with the word ‘figure’ to indicate an approximate amount?
",Ballpark
" Which highly alcoholic spirit is flavoured with wormwood leaves?
",Absinthe
" Which horse won the 2007 Cheltenham Gold Cup?
",Kauto Star
" What city has more than one hundred kilometres of canals (the main ones called Herengracht, Prinsengracht, and Keizersgracht), which were dug in the 17th century to form concentric belts around the city, known as the grachtengordel?
",Amsterdam
" What type of root does a dandelion have?
",Taproot
" In January 1987, who became the first woman inducted into the Rock and Roll Hall of Fame?
",Aretha Franklin
" Kernow is the name for which area of the U.K., when spoken in the local language?
",Cornwall
" The Cassette Scandal of recent times has proved to be pivotal in shaping the political landscape of what country?
",Ukraine
" Which flag is flown by a vessel about to leave port?
",Blue Peter
" Terrible Tudors and Awesome Egyptians are the first two titles in which series of illustrated books by Terry Deary?
",Horrible Histories
" On which Scottish Island is the town of Lochmaddy?
",North uist
" Which London area is mentioned in the opening line of the lyrics to 'The Kinks' hit 'Lola'?
",Soho
" What destination was almost reached by explorer Robert Peary?
",The North Pole
" The name of which chemical element means 'acid-producing'?
",Oxygen
" What is the Japanese dish of (usually) beef and vegetables in soy sauce?
",Sukiyaki
" In which famous school was the game of squash invented in the 20th century?
",Harrow school
" Boccaccios collection of ten stories are known as what?
",Decameron
" In 2012 which was the city, second only to Paris, with the most populous metropolitan area in the world?
",Seoul
" 'Herod', 'John the Baptist' and 'Nawabath' are characters in which opera by Richard Strauss?
",salome'
" What is the Aboriginal name for Ayers Rock?
",Uluru
" Which sea, with ports Venice and Split, is the northernmost part of the Mediterranean Sea?
",Adriatic Sea
" ‘Full English’ relates to which meal?
",Breakfast
" Ringed, Golden and Kentish are all species of which bird?
",Plover
" Which common British mammal has the scientific name Erinaceous Europaeus?
",Hedgehog
" Who was the first man to fly across the channel?
",Louis Bleriot
" Nicknamed the 'The Pearl of the Danube', which capital is overlooked by János Hill?
",Budapest
" The Great Star of Africa, part of the Crown Jewels, is what type of precious stone?
",Diamond
" Who was the first man to drive a car at over 200mph; he set his final land speed record in Golden Arrow in 1929. He died on Lake Windermere in 1930 in an attempt to break the water speed record?
",Sir Henry Segrave
" Bernard Lee who played M in eleven Bond films was the grandfather of which current British actor?
",Jonny Lee Miller
" In which country was Mo Farah born in 1983?
",Somalia
" What name is given to the female figure who symbolises France, seen for example on coins and stamps and on the frontage of law courts?
",Marianne
" The Mushroom Kingdom is the setting for what Nintendo video game series, first introduced on Sept 13, 1985
",Super Mario Brothers
" Actress Rachel Weisz married which actor in 2011?
",Daniel Craig
" The World Bank has its HQ in which city?
",Washington dc
" What is the name of the ‘Special Agent’ meerkat toy in the UK television commercial for Compare the Market?
",Maiya
" What is another name for pain in one or more nerves?
",Neuralgia
" According to legend, who was King Arthur's illegitimate son who fought against Arthur at the Battle of Camlann?
",Mordred
" From which London station do you depart on a rail journey to Glasgow?
",Euston
" Who played detectives Charley Farley and Piggy Malone?
",The Two Ronnies
" The human body has 5 basic types of taste: Sweet, Sour, Salty, Bitter and Umami. From what language do we borrow the word Umami from?
",Japanese
" The English town of Colchester lies on which river?
",River Colne
" ""Which song begins with """"And now the end is near and so I face the final curtain""""?""
",My Way
" What country's population peaked at around 128 million in 2010?
",Japan
" Which is the biggest Indian city by population?
",Mumbai
" In The Young Ones who shared the house with Rick, Vivian and Neil?
",Mike
" If all the countries that have Spanish as an official language were listed alphabetically, which country would come first?
",Argentina
" Which American TV sitcom featured the families of sisters Jessica Tate and Mary Campbell?
",Soap
" Which American motor manufacturer used to make the Wildcat
",Buick
" Name the Green Party leader and its first parliamentary MP, who won the Brighton Pavilion seat in the UK May 2010 general election?
",Caroline Lucas
" Which letter is represented in Morse code by 'dash dash'?
",The Letter M
" What is the name for the protein which is the main constituent of hair, horns, nails, claws and hooves of mammals?
",Keratin
" Which type of richly hued wood is by far the most common wood used for Marimba and Xylophone keys?
",Rosewood
" Which character in the TV programme Red Dwarf is a hologram?
",Rimmer
" Which English king was deposed by his first cousin who became Henry the fourth?
",Richard II
" ""On 1 September 2010, In the Iraq War, the USA replaced the name """"Operation Iraqi Freedom"""" by what?""
",Operation New Dawn
" Which American boxer's thunderous right hand punch was known as ' The Suzie Q ' ?
",Rocky marciano
" Which colour features in the title of number one hits by Tom Jones and Shakin Stevens?
",Green
" Which British singer released a 2003 album entitled ‘Life For Rent’?
",Dido
" Which popular card game takes its name from the Spanish for 'Basket' ?
",Canasta
" Which planet has 5 rings that are named for the astronomers Johann Gottfried Galle, Urbain Le Verrier, William Lassell, Franois Arago and John Couch Adams?
",Neptune
" What is or was the real first name of the newspaper owner Eddie Shah?
",Selim
" Michael Ibsen, descendent and 2012 DNA match-proof for English King Richard III, was also (What?) at Richard III's reinterment in 2015?
",Casket-maker
" Who plays the part of Princess Grace in the 2014 film 'Grace of Monaco'?
",Nicole Kidman
" Who has been the “head” elf in the Keebler Cookie Tree since 1970?
",Ernie
" Of which modern country does the former kingdom of Bohemia form a major part?
",Czech Republic
